IncidntNum,categories,description,days,date,time,address,longitude,latitude,periods
170002956,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Monday,01/02/2017 12:00:00 AM,04:27:00,1800 Block of 28TH AV,-122.485982800091,37.7528682814355,early_morning
170002956,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Monday,01/02/2017 12:00:00 AM,04:27:00,1800 Block of 28TH AV,-122.485982800091,37.7528682814355,early_morning
170002956,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01/02/2017 12:00:00 AM,04:27:00,1800 Block of 28TH AV,-122.485982800091,37.7528682814355,early_morning
170002962,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Monday,01/02/2017 12:00:00 AM,04:43:00,FRANKLIN ST / POST ST,-122.423217673913,37.7864017954155,early_morning
170002978,WARRANTS,WARRANT ARREST,Monday,01/02/2017 12:00:00 AM,05:29:00,700 Block of ELLIS ST,-122.418562097105,37.7841847091303,early_morning
170002978,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Monday,01/02/2017 12:00:00 AM,05:29:00,700 Block of ELLIS ST,-122.418562097105,37.7841847091303,early_morning
170002984,ASSAULT,AGGRAVATED ASSAULT WITH A KNIFE,Monday,01/02/2017 12:00:00 AM,05:46:00,MISSION ST / 16TH ST,-122.419671780296,37.7650501214668,early_morning
170002990,NON-CRIMINAL,FOUND PROPERTY,Monday,01/02/2017 12:00:00 AM,06:00:00,600 Block of VALENCIA ST,-122.421747650463,37.7627436601147,morning
170003001,SUSPICIOUS OCC,SUSPICIOUS OCCURRENCE,Monday,01/02/2017 12:00:00 AM,06:58:00,0 Block of 5THSTNORTH ST,-122.408648588965,37.7849124714135,morning
170003017,OTHER OFFENSES,VIOLATION OF MUNICIPAL CODE,Monday,01/02/2017 12:00:00 AM,06:18:00,400 Block of CASTRO ST,-122.435012093789,37.7617677182954,morning
170003023,ASSAULT,BATTERY,Monday,01/02/2017 12:00:00 AM,06:45:00,0 Block of HENRYADAMS ST,-122.403887236592,37.7691714899149,morning
170003039,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,01/02/2017 12:00:00 AM,07:52:00,7TH ST / TOWNSEND ST,-122.401658145147,37.7718165835839,morning
170003045,NON-CRIMINAL,SEARCH WARRANT SERVICE,Monday,01/02/2017 12:00:00 AM,07:30:00,300 Block of LEAVENWORTH ST,-122.414269361877,37.7842081124308,morning
170003073,WEAPON LAWS,EXHIBITING DEADLY WEAPON IN A THREATING MANNER,Monday,01/02/2017 12:00:00 AM,08:19:00,OFARRELL ST / HYDE ST,-122.416261836834,37.7853750846376,morning
170003073,WARRANTS,WARRANT ARREST,Monday,01/02/2017 12:00:00 AM,08:19:00,OFARRELL ST / HYDE ST,-122.416261836834,37.7853750846376,morning
170003089,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,01/02/2017 12:00:00 AM,08:08:00,600 Block of JONES ST,-122.413162802096,37.7870801005292,morning
170003095,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Monday,01/02/2017 12:00:00 AM,08:10:00,2200 Block of MARKET ST,-122.431957685196,37.7649357189679,morning
170003095,VANDALISM,"VANDALISM OR GRAFFITI TOOLS, POSSESSION",Monday,01/02/2017 12:00:00 AM,08:10:00,2200 Block of MARKET ST,-122.431957685196,37.7649357189679,morning
170003108,RECOVERED VEHICLE,RECOVERED VEHICLE - STOLEN OUTSIDE SF,Monday,01/02/2017 12:00:00 AM,08:47:00,1100 Block of THOMAS AV,-122.382852175823,37.7256943991515,morning
170003114,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Monday,01/02/2017 12:00:00 AM,08:13:00,2200 Block of 16TH ST,-122.409519465141,37.7656088991582,morning
